-1558094185702,8221
-156006022331,7708
-1560409193689,5556
-1561902935453,6781
-1566596426869,4098
-15668774436,1963
-156763408675,2109
-1569475835275,33
-156983532051,10193
-1571969959205,7924
-157228273387,138
-157468863158,537
-1575323434295,3677
-1577904421121,44
-1579834843349,9581
-1584529049584,12137
-158527165353,1520
-1586101400,5691
-158872678956,895
-1588768200132,121
-1592679279085,2416
-1593257585983,522
-159511734182,11143
-1599722486689,13094
-1605998439443,3177
-1607417592093,1267
-1609670758444,12567
-1612140619707,9046
-161713553908,14977
-1617910126195,11963
-1618025072955,4979
-1618678822979,1337
-162336252679,14505
-162437663293,741
-1625729781873,2443
-1626418204402,1347
-1626466640996,81
-162961240998,1235
-163822858336,4399
-1639076437668,6947
-1640216580102,1309
-1640875998475,1529
-1641243135337,7069
-1645319979513,668
-1645765229303,4241
-1647028532708,3717
-164713583771,5546
-1652790448853,4067
-165588394954,3337
-165924160483,10768
-1664710879708,2985
-16676495827,12870
-166875953452,2407
-1669855704658,1273
-167071826164,9109
-16708774652,4315
-1672146043802,5539
-1673850083404,335
-1679722720873,10536
-1684051949622,3001
-1690249828206,3127
-1690558520172,8087
-1690712824853,419
-1691199272870,4769
-1695236414951,1122
-169649398761,5471
-169702890202,9501
-1699155337744,10403
-17020123367,510
-170304002957,14240
-170418248683,16342
-1706181675026,1527
-170693956282,10353
-1708470425705,7527
-1708848105641,2585
-1713262474605,6572
-1713774425454,8035
-1714308123467,2944
-1717388042888,3099
-1717522265321,3739
-171952277270,11417
-1721448857011,15342
-1724960748283,3350
-172638612095,13921
-1726396802033,14198
-17280599903,369
-1729316870691,7450
-173178554098,367
-174006770053,833
-174399155592,6073
-17474657179,5428
-1748160173945,12036
-1748459460431,9211
-17504338341,64
-1750633137677,707
-17506783702,1777
-1756400336027,4115
-1756624045237,16232
-175805118047,55
-1764942412558,1007
-177440121345,13966
-177640218031,574
-177771338888,645
-1777845455035,3782
-177999041207,9703
-1792384896409,217
-1792729313911,8675
-179380093927,9954
-179523904811,758
-180374718261,3419
-180786976023,6487
-1808660767123,7446
-181036133644,10203
-181195931184,5833
-181220828915,14572
-1816514113115,13531
-1819004055203,13613
-1819634118530,14183
-182006635817,11876
-18204103696,1999
-1822374628243,678
-182269982926,9235
-1822880604185,3953
-182467484871,15331
-1825359962453,10671
-1826811864496,7229
-1830178277258,8223
-183021558899,2476
-1830233422499,8238
-1831405902231,3668
-1831823525914,3739
-183494333134,783
-1838773545897,122
-1840894457337,1025
-1842501680346,5705
-184472091152,13687
-1853322457494,5513
-185412777491,13235
-185519487460,13731
-1856612058705,1301
-1858370761231,8059
-1860810050070,13189
-1862195718143,15
-186242751024,12187
-1863446783204,3853
-1864187394951,8236
-186450566401,86
-1872404972958,10015
-1872675728553,977
-1873041668401,14467
-1874961199153,13829
-187607486227,14228
-187822868153,6968
-187825372222,113
-1878400050956,13747
-1878908510828,8149
-1879184195684,1337
-188090222705,9236
-1881617332227,2083
-188543780997,926
-1887867909112,5673
-1891329611817,1208
-189380539367,5089
-1898925675030,713
-1904273961103,6804
-190537363604,11443
-1905417705292,11525
-190609610668,3807
-190865233847,7716
-19137030059,4799
-191405932526,2229
-191584736876,5609
-1917772115401,557
-1924995932197,10292
-1925878619812,59
-192799447236,4003
-1930398753335,15558
-1935988417197,14917
-1940363735414,15575
-1944779377970,3897
-1946842478477,14764
-195091013932,6005
-195115950831,562
-1962661163916,9287
-196273853869,1765
-197108672197,10003
-1982432709160,7593
-198769272425,7522
-198952531660,13197
-19896277944,277
-199021430283,5243
-199733627035,329
-199838378044,55
-20006249569,693
-200634624242,12841
-2012455475462,2771
-20146245712,15533
-202487748995,14698
-2028029368624,16119
-2030467885035,14908
-2035438709081,10038
-203985195425,7372
-203991258847,6448
-204334153801,6713
-204458196335,12912
-205212274286,329
-2059652741075,5778
-206273620709,1838
-206368373956,15781
-2070071096331,6445
-207335486122,13173
-207847547821,11616
-208003464347,2105
-2089419275389,11132
-209223125718,775
-209691302291,740
-21090223849,903
-210926433103,1934
-211341818321,7544
-211463179374,4913
-2116520150892,9145
-211933767820,2421
-21232600180,4157
-212444170842,8071
-2129394422840,9857
-2133574069020,8273
-213681689209,3134
-214619976359,3422
-214675109669,1351
-214922242027,12717
-215289074887,11163
-215801821145,6254
-216782640069,4874
-216909194882,1747
-2178321954392,14831
-218522232906,821
-2198666839508,16195
-21992403161,5627
-2207905158031,15646
-221780949361,312
-222993796232,8669
-224283417071,10748
-225821323003,12948
-22599826718,2997
-228645008234,11653
-229181145265,14824
-230728551709,5740
-230766724444,14623
-23152378711,12116
-231977273831,983
-233572049423,8940
-23479058286,1607
-236293913999,5167
-2371000042067,14288
-239227239962,2835
-240966166007,1714
-241130344483,10692
-241566384013,15981
-241798771373,5164
-242871404136,493
-243592346914,1117
-244167654443,827
-244702476291,14702
-244869898079,8615
-245358768418,4629
-245605838424,2555
-24676797417,1954
-247679913547,4030
-248225496523,682
-248313438055,714
-24896745921,7064
-249437322629,9298
-249758566611,4787
-249807904346,2845
-250216474139,799
-251133017035,849
-251297575405,4362
-252086807150,69
-253817496837,1003
-254874141550,2581
-255539663367,7966
-255953504999,1510
-256415346488,2473
-256683081242,2189
-257003479391,1069
-257189781466,3091
-25740696872,14243
-257543632459,14973
-257651390567,2612
-258215394127,7159
-260203854959,479
-260560703605,2344
-260679991597,9273
-261327029217,7900
-261858531797,8355
-262307333299,2548
-262741500836,12817
-263165237422,7735
-263715317581,7620
-263745582749,12021
-265580034313,1832
-267128786338,14081
-267183907603,4774
-267350795495,956
-268037886896,177
-268103813061,2132
-269073974937,3745
-269506791182,13973
-270135406091,121
-270423329733,6485
-270855399023,4577
-2719353508,2695
-272235922551,1952
-27286475764,8437
-273010180599,2458
-273047259925,13119
-274834965136,903
-275211649751,9938
-275404519408,1461
-277704839743,9919
-278574950063,8620
-279422332637,15781
-280342618285,7381
-280792188531,1192
-2811603684,1579
-28116057629,13393
-281957308564,6335
-282353330671,1226
-283228822369,1267
